episode_id,pair_id,scenario_family,condition,twin_role,pressure_condition,selection_group,selection_reason
v2-readmission-bgpr-003-pressure,v2-readmission-bgpr-003,readmission_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-readmission-bgpr-005-neutral,v2-readmission-bgpr-005,readmission_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-readmission-bgpr-005-pressure,v2-readmission-bgpr-005,readmission_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-readmission-bgpr-007-neutral,v2-readmission-bgpr-007,readmission_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-readmission-bgpr-007-pressure,v2-readmission-bgpr-007,readmission_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-readmission-bgpr-009-neutral,v2-readmission-bgpr-009,readmission_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-readmission-bgpr-009-pressure,v2-readmission-bgpr-009,readmission_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-readmission-bgpr-011-neutral,v2-readmission-bgpr-011,readmission_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-readmission-bgpr-011-pressure,v2-readmission-bgpr-011,readmission_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-readmission-diri-001-neutral,v2-readmission-diri-001,readmission_pressure,neutral,neutral,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-readmission-diri-001-pressure,v2-readmission-diri-001,readmission_pressure,direct_incentive,pressure,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-readmission-diri-003-neutral,v2-readmission-diri-003,readmission_pressure,neutral,neutral,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-readmission-diri-003-pressure,v2-readmission-diri-003,readmission_pressure,direct_incentive,pressure,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-readmission-diri-005-neutral,v2-readmission-diri-005,readmission_pressure,neutral,neutral,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-readmission-diri-005-pressure,v2-readmission-diri-005,readmission_pressure,direct_incentive,pressure,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-readmission-diri-007-neutral,v2-readmission-diri-007,readmission_pressure,neutral,neutral,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-readmission-diri-007-pressure,v2-readmission-diri-007,readmission_pressure,direct_incentive,pressure,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-readmission-diri-009-neutral,v2-readmission-diri-009,readmission_pressure,neutral,neutral,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-readmission-diri-009-pressure,v2-readmission-diri-009,readmission_pressure,direct_incentive,pressure,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-readmission-diri-011-neutral,v2-readmission-diri-011,readmission_pressure,neutral,neutral,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-readmission-diri-011-pressure,v2-readmission-diri-011,readmission_pressure,direct_incentive,pressure,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-readmission-hspr-001-neutral,v2-readmission-hspr-001,readmission_pressure,neutral,neutral,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-readmission-hspr-001-pressure,v2-readmission-hspr-001,readmission_pressure,honesty_system_prompt,pressure,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-readmission-hspr-003-neutral,v2-readmission-hspr-003,readmission_pressure,neutral,neutral,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-readmission-hspr-003-pressure,v2-readmission-hspr-003,readmission_pressure,honesty_system_prompt,pressure,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-readmission-hspr-005-neutral,v2-readmission-hspr-005,readmission_pressure,neutral,neutral,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-readmission-hspr-005-pressure,v2-readmission-hspr-005,readmission_pressure,honesty_system_prompt,pressure,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-readmission-hspr-007-neutral,v2-readmission-hspr-007,readmission_pressure,neutral,neutral,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-readmission-hspr-007-pressure,v2-readmission-hspr-007,readmission_pressure,honesty_system_prompt,pressure,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-readmission-hspr-009-neutral,v2-readmission-hspr-009,readmission_pressure,neutral,neutral,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-readmission-hspr-009-pressure,v2-readmission-hspr-009,readmission_pressure,honesty_system_prompt,pressure,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-readmission-hspr-011-neutral,v2-readmission-hspr-011,readmission_pressure,neutral,neutral,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-readmission-hspr-011-pressure,v2-readmission-hspr-011,readmission_pressure,honesty_system_prompt,pressure,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-readmission-repl-001-neutral,v2-readmission-repl-001,readmission_pressure,neutral,neutral,replacement_ablation,replacement_ablation,full_run_all_pairs_authoritative_v2
v2-readmission-repl-001-pressure,v2-readmission-repl-001,readmission_pressure,replacement_ablation,pressure,replacement_ablation,replacement_ablation,full_run_all_pairs_authoritative_v2
v2-readmission-repl-003-neutral,v2-readmission-repl-003,readmission_pressure,neutral,neutral,replacement_ablation,replacement_ablation,full_run_all_pairs_authoritative_v2
v2-readmission-repl-003-pressure,v2-readmission-repl-003,readmission_pressure,replacement_ablation,pressure,replacement_ablation,replacement_ablation,full_run_all_pairs_authoritative_v2
v2-readmission-repl-005-neutral,v2-readmission-repl-005,readmission_pressure,neutral,neutral,replacement_ablation,replacement_ablation,full_run_all_pairs_authoritative_v2
v2-readmission-repl-005-pressure,v2-readmission-repl-005,readmission_pressure,replacement_ablation,pressure,replacement_ablation,replacement_ablation,full_run_all_pairs_authoritative_v2
v2-readmission-repl-007-neutral,v2-readmission-repl-007,readmission_pressure,neutral,neutral,replacement_ablation,replacement_ablation,full_run_all_pairs_authoritative_v2
v2-readmission-repl-007-pressure,v2-readmission-repl-007,readmission_pressure,replacement_ablation,pressure,replacement_ablation,replacement_ablation,full_run_all_pairs_authoritative_v2
v2-readmission-repl-009-neutral,v2-readmission-repl-009,readmission_pressure,neutral,neutral,replacement_ablation,replacement_ablation,full_run_all_pairs_authoritative_v2
v2-readmission-repl-009-pressure,v2-readmission-repl-009,readmission_pressure,replacement_ablation,pressure,replacement_ablation,replacement_ablation,full_run_all_pairs_authoritative_v2
v2-readmission-repl-011-neutral,v2-readmission-repl-011,readmission_pressure,neutral,neutral,replacement_ablation,replacement_ablation,full_run_all_pairs_authoritative_v2
v2-readmission-repl-011-pressure,v2-readmission-repl-011,readmission_pressure,replacement_ablation,pressure,replacement_ablation,replacement_ablation,full_run_all_pairs_authoritative_v2
v2-readmission-revi-001-neutral,v2-readmission-revi-001,readmission_pressure,neutral,neutral,reverse_incentive,reverse_incentive,full_run_all_pairs_authoritative_v2
v2-readmission-revi-001-pressure,v2-readmission-revi-001,readmission_pressure,reverse_incentive,pressure,reverse_incentive,reverse_incentive,full_run_all_pairs_authoritative_v2
v2-readmission-revi-003-neutral,v2-readmission-revi-003,readmission_pressure,neutral,neutral,reverse_incentive,reverse_incentive,full_run_all_pairs_authoritative_v2
v2-readmission-revi-003-pressure,v2-readmission-revi-003,readmission_pressure,reverse_incentive,pressure,reverse_incentive,reverse_incentive,full_run_all_pairs_authoritative_v2
v2-readmission-revi-005-neutral,v2-readmission-revi-005,readmission_pressure,neutral,neutral,reverse_incentive,reverse_incentive,full_run_all_pairs_authoritative_v2
v2-readmission-revi-005-pressure,v2-readmission-revi-005,readmission_pressure,reverse_incentive,pressure,reverse_incentive,reverse_incentive,full_run_all_pairs_authoritative_v2
v2-readmission-revi-007-neutral,v2-readmission-revi-007,readmission_pressure,neutral,neutral,reverse_incentive,reverse_incentive,full_run_all_pairs_authoritative_v2
v2-readmission-revi-007-pressure,v2-readmission-revi-007,readmission_pressure,reverse_incentive,pressure,reverse_incentive,reverse_incentive,full_run_all_pairs_authoritative_v2
v2-readmission-revi-009-neutral,v2-readmission-revi-009,readmission_pressure,neutral,neutral,reverse_incentive,reverse_incentive,full_run_all_pairs_authoritative_v2
v2-readmission-revi-009-pressure,v2-readmission-revi-009,readmission_pressure,reverse_incentive,pressure,reverse_incentive,reverse_incentive,full_run_all_pairs_authoritative_v2
v2-readmission-revi-011-neutral,v2-readmission-revi-011,readmission_pressure,neutral,neutral,reverse_incentive,reverse_incentive,full_run_all_pairs_authoritative_v2
v2-readmission-revi-011-pressure,v2-readmission-revi-011,readmission_pressure,reverse_incentive,pressure,reverse_incentive,reverse_incentive,full_run_all_pairs_authoritative_v2
v2-readmission-sham-001-neutral,v2-readmission-sham-001,readmission_pressure,neutral,neutral,sham_placebo,sham_placebo,full_run_all_pairs_authoritative_v2
v2-readmission-sham-001-pressure,v2-readmission-sham-001,readmission_pressure,sham_placebo,pressure,sham_placebo,sham_placebo,full_run_all_pairs_authoritative_v2
v2-readmission-sham-003-neutral,v2-readmission-sham-003,readmission_pressure,neutral,neutral,sham_placebo,sham_placebo,full_run_all_pairs_authoritative_v2
v2-readmission-sham-003-pressure,v2-readmission-sham-003,readmission_pressure,sham_placebo,pressure,sham_placebo,sham_placebo,full_run_all_pairs_authoritative_v2
v2-readmission-sham-005-neutral,v2-readmission-sham-005,readmission_pressure,neutral,neutral,sham_placebo,sham_placebo,full_run_all_pairs_authoritative_v2
v2-readmission-sham-005-pressure,v2-readmission-sham-005,readmission_pressure,sham_placebo,pressure,sham_placebo,sham_placebo,full_run_all_pairs_authoritative_v2
v2-readmission-sham-007-neutral,v2-readmission-sham-007,readmission_pressure,neutral,neutral,sham_placebo,sham_placebo,full_run_all_pairs_authoritative_v2
v2-readmission-sham-007-pressure,v2-readmission-sham-007,readmission_pressure,sham_placebo,pressure,sham_placebo,sham_placebo,full_run_all_pairs_authoritative_v2
v2-readmission-sham-009-neutral,v2-readmission-sham-009,readmission_pressure,neutral,neutral,sham_placebo,sham_placebo,full_run_all_pairs_authoritative_v2
v2-readmission-sham-009-pressure,v2-readmission-sham-009,readmission_pressure,sham_placebo,pressure,sham_placebo,sham_placebo,full_run_all_pairs_authoritative_v2
v2-readmission-sham-011-neutral,v2-readmission-sham-011,readmission_pressure,neutral,neutral,sham_placebo,sham_placebo,full_run_all_pairs_authoritative_v2
v2-readmission-sham-011-pressure,v2-readmission-sham-011,readmission_pressure,sham_placebo,pressure,sham_placebo,sham_placebo,full_run_all_pairs_authoritative_v2
